Ignore mate,gnome,e17 and games packages.
İsim: pcsc-lite-devel, sürüm: 1.8.6, yayım: 1
İsim: pdb2pqr, sürüm: 1.7, yayım: 1
İsim: pdfreflow, sürüm: 0.8.6, yayım: 1
İsim: penguin-command, sürüm: 1.6.11, yayım: 1
İsim: phoebe-lib, sürüm: 0.31a, yayım: 1
İsim: phoebe-lib-devel, sürüm: 0.31a, yayım: 1
İsim: phoronix-test-suite, sürüm: 3.0.1, yayım: 1
İsim: phpldapadmin, sürüm: 1.2.3, yayım: 1
İsim: physfs, sürüm: 2.0.3, yayım: 1
İsim: physfs-devel, sürüm: 2.0.3, yayım: 1
İsim: pinentry, sürüm: 0.8.2, yayım: 1
İsim: pinentry-gtk, sürüm: 0.8.2, yayım: 1
İsim: pinentry-qt, sürüm: 0.8.2, yayım: 1
İsim: pisi-dnsmasq, sürüm: 20110201, yayım: 1
İsim: pisido, sürüm: 2.0b, yayım: 1
İsim: plasma-applet-fancytasks, sürüm: 1.1.2, yayım: 1
İsim: plasma-applet-service-manager, sürüm: 0.2, yayım: 1
İsim: plasma-applet-translatoid, sürüm: 1.30, yayım: 1
İsim: plasma-applet-veromix, sürüm: 0.18.3, yayım: 1
İsim: plasma-runner-pisi, sürüm: 1.3, yayım: 1
İsim: plib, sürüm: 1.8.5, yayım: 1
İsim: plib-devel, sürüm: 1.8.5, yayım: 1
İsim: pmtools, sürüm: 20071116, yayım: 1
İsim: pnglite, sürüm: 0.1.17, yayım: 1
İsim: pnglite-devel, sürüm: 0.1.17, yayım: 1
İsim: pnm2ppa, sürüm: 1.12, yayım: 1
İsim: podofo, sürüm: 0.9.1, yayım: 1
İsim: podofo-devel, sürüm: 0.9.1, yayım: 1
İsim: polipo, sürüm: 1.0.4.1, yayım: 1
İsim: polkit-kde_1, sürüm: 0.99.0, yayım: 1
İsim: polkit-qt_1, sürüm: 0.103.0, yayım: 1
İsim: polkit-qt_1-devel, sürüm: 0.103.0, yayım: 1
İsim: popt, sürüm: 1.16, yayım: 1
İsim: popt-devel, sürüm: 1.16, yayım: 1
İsim: portaudio, sürüm: 19, yayım: 1
İsim: portaudio-devel, sürüm: 19, yayım: 1
İsim: poster, sürüm: 0.1_20060221, yayım: 1
İsim: postgresql-python, sürüm: 4.0, yayım: 1
İsim: prelink, sürüm: 0.0_20101123, yayım: 1
İsim: premake, sürüm: 4.3, yayım: 1
İsim: prison, sürüm: 1.0, yayım: 1
İsim: prison-devel, sürüm: 1.0, yayım: 1
İsim: procps, sürüm: 3.2.8, yayım: 1
İsim: proj, sürüm: 4.8.0, yayım: 1
İsim: proj-devel, sürüm: 4.8.0, yayım: 1
İsim: project-starfighter, sürüm: 1.2, yayım: 1
İsim: protobuf, sürüm: 2.4.1, yayım: 1
İsim: protobuf-devel, sürüm: 2.4.1, yayım: 1
İsim: ps2eps, sürüm: 1.68, yayım: 1
İsim: psutils, sürüm: 1.17, yayım: 1
İsim: pth, sürüm: 2.0.7, yayım: 1
İsim: pth-devel, sürüm: 2.0.7, yayım: 1
İsim: puddletag, sürüm: 1.0.2, yayım: 1
İsim: pv, sürüm: 1.2.0, yayım: 1
İsim: pymacs, sürüm: 0.25, yayım: 1
İsim: pyroom, sürüm: 0.4.1, yayım: 1
İsim: pyzor, sürüm: 0.5.0, yayım: 1
İsim: qbzr, sürüm: 0.20.2, yayım: 1
İsim: qca2, sürüm: 2.0.3, yayım: 1
İsim: qca2-apidocs, sürüm: 2.0.3, yayım: 1
İsim: qca2-devel, sürüm: 2.0.3, yayım: 1
İsim: qca2-ossl, sürüm: 2.0.0_beta3, yayım: 1
İsim: qcomicbook, sürüm: 0.9.0, yayım: 1
İsim: qconf, sürüm: 1.4, yayım: 1
İsim: qdevelop, sürüm: 0.28, yayım: 1
İsim: qedje, sürüm: 0.4.0, yayım: 1
İsim: qedje-devel, sürüm: 0.4.0, yayım: 1
